"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify if user can view all comments related to a specific post","81","verifyPostHasComments","API Test Suite","Fri Jul 11 07:58:33 GMT 2025","passed","Fri Jul 11 07:58:33 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyPostHasComments"
"Verify if user can view specific post","548","verifyGetPostByIdReturnsTheExpectedPost","API Test Suite","Fri Jul 11 07:58:32 GMT 2025","passed","Fri Jul 11 07:58:33 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyGetPostByIdReturnsTheExpectedPost"
"Verify if schema validation enforces required fields constraint when creating a post","77","verifySchemaValidationWhenCreatingPost","API Test Suite","Fri Jul 11 07:58:33 GMT 2025","failed","Fri Jul 11 07:58:33 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifySchemaValidationWhenCreatingPost"
"Verify if user cannot perform an update on a non-existing post","64","verifyUpdatingNonExistingPostFails","API Test Suite","Fri Jul 11 07:58:34 GMT 2025","failed","Fri Jul 11 07:58:34 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyUpdatingNonExistingPostFails"
"Verify if schema validation enforces required fields constraint when creating a post","58","verifySchemaValidationWhenCreatingPost","API Test Suite","Fri Jul 11 07:58:33 GMT 2025","failed","Fri Jul 11 07:58:33 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifySchemaValidationWhenCreatingPost"
"Verify if user can create a post successfully given all required data","2466","verifyCreatePostSuccessGivenRequiredData","API Test Suite","Fri Jul 11 07:58:30 GMT 2025","passed","Fri Jul 11 07:58:32 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyCreatePostSuccessGivenRequiredData"
"Verify if schema validation enforces required fields constraint when creating a post","63","verifySchemaValidationWhenCreatingPost","API Test Suite","Fri Jul 11 07:58:33 GMT 2025","failed","Fri Jul 11 07:58:34 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifySchemaValidationWhenCreatingPost"
"Verify if user can update a post successfully given all required data","81","verifyUpdatePostSuccessGivenRequiredData","API Test Suite","Fri Jul 11 07:58:34 GMT 2025","passed","Fri Jul 11 07:58:34 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyUpdatePostSuccessGivenRequiredData"
"Verify if a post can be deleted","50","verifyPostCanBeDeletedSuccessfully","API Test Suite","Fri Jul 11 07:58:33 GMT 2025","passed","Fri Jul 11 07:58:33 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyPostCanBeDeletedSuccessfully"
"Verify if user can view all posts","262","verifyGetPostsReturnsAllPosts","API Test Suite","Fri Jul 11 07:58:33 GMT 2025","passed","Fri Jul 11 07:58:33 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyGetPostsReturnsAllPosts"
"Verify if correct status code is returned when requested post is not found","97","verifyFetchingNonExistingPostReturns404","API Test Suite","Fri Jul 11 07:58:32 GMT 2025","passed","Fri Jul 11 07:58:32 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyFetchingNonExistingPostReturns404"
